year,cty,all_gov_exp,all_gov_rev
2001,Baca,23400.4,24490.6
2001,Bent,29801.6,30431.8
2001,Boulder,948371.8,863217.2
2001,Broomfield,520639.2,83424.8
2001,Chaffee,51821.4,53539.2
2001,Cheyenne,17440.0,16983.4
2001,Clear Creek,40115.8,31203.2
2001,Conejos,25081.0,27120.4
2001,Costilla,10454.0,10023.4
2001,Crowley,8120.8,8369.4
2001,Custer,11219.8,9016.8
2001,Delta,88226.2,86284.8
2001,Denver,2982266.6,3275807.0
2001,Dolores,8970.2,7200.6
2001,Douglas,624421.8,609724.0
2001,Eagle,202736.8,209319.8
2001,El Paso,1597939.8,1554819.0
2001,Elbert,41234.6,45201.6
2001,Fremont,82050.2,80104.0
2001,Garfield,170678.0,146786.4
2001,Gilpin,29789.4,45239.6
2001,Grand,65193.4,70716.4
2001,Gunnison,58946.8,55342.6
2001,Hinsdale,2945.4,3150.4
2001,Huerfano,23772.4,23824.2
2001,Jackson,6639.2,6571.0
2001,Jefferson,1410882.2,1314615.8
2001,Kiowa,13002.8,14217.6
2001,Kit Carson,31969.4,32857.8
2001,La Plata,123836.0,124927.6
2001,Lake,72806.2,77761.8
2001,Larimer,721092.0,812279.6
2001,Las Animas,51533.8,44457.2
2001,Lincoln,23320.0,25277.4
2001,Logan,66124.0,70240.6
2001,Mesa,307619.6,308513.4
2001,Mineral,4050.4,4480.6
2001,Moffat,74418.6,80848.2
2001,Montezuma,67144.6,71207.4
2001,Montrose,127799.6,131444.0
2001,Morgan,75795.2,79351.2
2001,Otero,63505.2,63204.4
2001,Ouray,12521.8,12809.8
2001,Park,37507.8,38328.6
2001,Phillips,20209.2,21489.2
2001,Pitkin,157297.0,168961.2
2001,Prowers,53013.4,57707.4
2001,Pueblo,347555.8,363557.8
2001,Rio Blanco,45532.2,46612.0
2001,Rio Grande,38097.0,38534.2
2001,Routt,88188.8,84641.2
2001,Saguache,17336.6,19028.2
2001,San Juan,3729.8,3703.8
2001,San Miguel,51640.2,50512.4
2001,Sedgwick,14963.6,14012.0
2001,Summit,123359.6,133268.8
2001,Teller,61430.0,66861.6
2001,Washington,18369.6,18254.4
2001,Weld,526988.4,516948.8
2001,Yuma,42417.6,46732.0
2002,Adams,1254077.0,1210580.0
2002,Alamosa,47805.0,47986.0
2002,Arapahoe,1922544.0,1766539.0
2002,Archuleta,30031.0,46232.0
2002,Baca,23731.0,25902.0
2002,Bent,31853.0,32423.0
2002,Boulder,1016211.0,915485.0
2002,Broomfield,650799.0,104281.0
2002,Chaffee,54699.0,56228.0
2002,Cheyenne,18498.0,17720.0
2002,Clear Creek,44380.0,33261.0
2002,Conejos,25901.0,28173.0
2002,Costilla,9352.0,9028.0
2002,Crowley,8151.0,8491.0
2002,Custer,12368.0,9642.0
2002,Delta,92517.0,89969.0
2002,Denver,3185706.0,3479538.0
2002,Dolores,9780.0,7510.0
2002,Douglas,688481.0,674184.0
2002,Eagle,215635.0,224253.0
2002,El Paso,1713909.0,1648824.0
2002,Elbert,43754.0,48384.0
2002,Fremont,85966.0,83012.0
2002,Garfield,185308.0,157306.0
2002,Gilpin,30623.0,48386.0
2002,Grand,70915.0,76969.0
2002,Gunnison,58548.0,58629.0
2002,Hinsdale,2928.0,3078.0
2002,Huerfano,24305.0,24004.0
2002,Jackson,6930.0,6858.0
2002,Jefferson,1508844.0,1392744.0
2002,Kiowa,13172.0,14576.0
2002,Kit Carson,33178.0,34720.0
2002,La Plata,129234.0,130803.0
2002,Lake,75769.0,84481.0
2002,Larimer,757512.0,838323.0
2002,Las Animas,54315.0,46015.0
2002,Lincoln,24205.0,25971.0
2002,Logan,66657.0,72878.0
2002,Mesa,326319.0,323952.0
2002,Mineral,3957.0,4451.0
2002,Moffat,76796.0,84379.0
2002,Montezuma,66820.0,70862.0
2002,Montrose,133728.0,137456.0
2002,Morgan,76071.0,81864.0
2002,Otero,63594.0,64908.0
2002,Ouray,12735.0,13094.0
2002,Park,38411.0,40620.0
2002,Phillips,21704.0,23338.0
2002,Pitkin,173247.0,182962.0
2002,Prowers,57328.0,62999.0
2002,Pueblo,360732.0,379032.0
2002,Rio Blanco,47156.0,48352.0
2002,Rio Grande,38964.0,39289.0
2002,Routt,95492.0,90221.0
2002,Saguache,17170.0,18536.0
2002,San Juan,3672.0,3660.0
2002,San Miguel,54871.0,54007.0
2002,Sedgwick,15434.0,14697.0
2002,Summit,127167.0,139829.0
2002,Teller,65047.0,70987.0
2002,Washington,18987.0,18819.0
2002,Weld,563211.0,551108.0
2002,Yuma,45162.0,50957.0
2003,Adams,1293058.2333333334,1248042.6333333333
2003,Alamosa,49257.23333333333,49438.53333333333
2003,Arapahoe,1984151.2333333334,1822872.9333333333
2003,Archuleta,30990.433333333334,47726.666666666664
2003,Baca,24384.5,26620.133333333335
2003,Bent,32805.8,33388.2
2003,Boulder,1047877.1666666666,944011.9666666667
2003,Broomfield,672492.3,107757.03333333334
2003,Chaffee,56359.566666666666,57951.3
2003,Cheyenne,19068.133333333335,18259.933333333334
2003,Clear Creek,45780.03333333333,34283.76666666667
2003,Conejos,26599.366666666665,28942.7
2003,Costilla,9600.533333333333,9258.366666666667
2003,Crowley,8378.1,8724.8
2003,Custer,12756.6,9940.866666666667
2003,Delta,95365.53333333334,92722.83333333333
2003,Denver,3280735.433333333,3583676.566666667
2003,Dolores,10068.033333333333,7722.466666666666
2003,Douglas,711223.8666666667,696497.9333333333
2003,Eagle,222657.36666666667,231558.43333333332
2003,El Paso,1767355.8666666667,1700357.9666666666
2003,Elbert,45141.066666666666,49926.066666666666
2003,Fremont,88565.8,85502.83333333333
2003,Garfield,191269.2,162334.1
