,ap,emp,est,fipscty,fipstate,ind_code,naics,qp1,s_NAICS,s_SIC,s_n02,s_n07,sic,year
86746,289,39,10,61,8,5200,,66,,52,44,44,52--,1986
86763,0,0,1,61,8,6000,,0,,60,52,52,60--,1986
86766,283,46,14,61,8,7000,,67,,70,81,81,70--,1986
86790,0,0,3,61,8,9900,,0,,90,92,92,99--,1986
86791,17197,1383,228,63,8,0000,,3849,,00,00,00,----,1986
86792,0,0,3,63,8,0700,,0,,07,11,11,07--,1986
86797,1377,74,14,63,8,1500,,247,,15,23,23,15--,1986
86810,1555,95,9,63,8,1900,,344,,20,33,33,19--,1986
86831,1170,53,11,63,8,4000,,227,,40,48,48,40--,1986
86843,4444,268,27,63,8,5000,,950,,50,42,42,50--,1986
86863,4453,490,68,63,8,5200,,1052,,52,44,44,52--,1986
86902,1428,74,15,63,8,6000,,376,,60,52,52,60--,1986
86911,0,0,1,63,8,6600,,0,,,,,6600,1986
86915,2498,311,64,63,8,7000,,625,,70,81,81,70--,1986
86959,0,0,17,63,8,9900,,0,,90,92,92,99--,1986
86960,29059,1464,166,65,8,0000,,8190,,00,00,00,----,1986
86961,0,0,1,65,8,0700,,0,,07,11,11,07--,1986
86964,0,0,5,65,8,1000,,0,,10,21,21,10--,1986
86973,227,17,11,65,8,1500,,41,,15,23,23,15--,1986
86983,0,0,3,65,8,1900,,0,,20,33,33,19--,1986
86988,544,52,9,65,8,4000,,133,,40,48,48,40--,1986
87000,378,26,4,65,8,5000,,90,,50,42,42,50--,1986
87011,0,0,60,65,8,5200,,0,,52,44,44,52--,1986
87048,776,45,15,65,8,6000,,176,,60,52,52,60--,1986
87064,3113,324,48,65,8,7000,,848,,70,81,81,70--,1986
87107,115,18,10,65,8,9900,,34,,90,92,92,99--,1986
87108,117490,9523,1265,67,8,0000,,28314,,00,00,00,----,1986
87109,438,53,15,67,8,0700,,88,,07,11,11,07--,1986
87116,1599,92,9,67,8,1000,,309,,10,21,21,10--,1986
87132,14389,871,147,67,8,1500,,3071,,15,23,23,15--,1986
87160,4287,345,35,67,8,1900,,1015,,20,33,33,19--,1986
87214,5994,266,41,67,8,4000,,1441,,40,48,48,40--,1986
87236,8121,508,59,67,8,5000,,1856,,50,42,42,50--,1986
87277,27616,2786,322,67,8,5200,,6573,,52,44,44,52--,1986
87343,8628,525,86,67,8,6000,,2181,,60,52,52,60--,1986
87367,44030,3860,434,67,8,7000,,11284,,70,81,81,70--,1986
87470,2388,217,117,67,8,9900,,497,,90,92,92,99--,1986
87471,833861,50488,5054,69,8,0000,,194098,,00,00,00,----,1986
87472,3071,270,82,69,8,0700,,633,,07,11,11,07--,1986
87482,3962,182,29,69,8,1000,,974,,10,21,21,10--,1986
87504,99530,5238,569,69,8,1500,,23007,,15,23,23,15--,1986
87533,322374,12647,267,69,8,1900,,73699,,20,33,33,19--,1986
87716,32219,1624,149,69,8,4000,,7851,,40,48,48,40--,1986
87759,37769,2089,256,69,8,5000,,8559,,50,42,42,50--,1986
87825,131638,13712,1201,69,8,5200,,30316,,52,44,44,52--,1986
87903,51210,2737,420,69,8,6000,,12356,,60,52,52,60--,1986
87930,567,26,4,69,8,6600,,131,,,,,6600,1986
87940,141032,11080,1606,69,8,7000,,34666,,70,81,81,70--,1986
88073,11055,909,475,69,8,9900,,2036,,90,92,92,99--,1986
88074,17123,1646,309,71,8,0000,,4022,,00,00,00,----,1986
88075,0,0,2,71,8,0700,,0,,07,11,11,07--,1986
88078,0,0,4,71,8,1000,,0,,10,21,21,10--,1986
88085,601,77,24,71,8,1500,,203,,15,23,23,15--,1986
88103,0,0,8,71,8,1900,,0,,20,33,33,19--,1986
88122,821,62,12,71,8,4000,,227,,40,48,48,40--,1986
88144,1584,122,14,71,8,5000,,354,,50,42,42,50--,1986
88163,4561,517,98,71,8,5200,,1026,,52,44,44,52--,1986
88215,1714,129,25,71,8,6000,,409,,60,52,52,60--,1986
88231,0,0,1,71,8,6600,,0,,,,,6600,1986
88236,5357,586,90,71,8,7000,,1212,,70,81,81,70--,1986
88288,525,59,32,71,8,9900,,118,,90,92,92,99--,1986
88289,14639,1022,125,73,8,0000,,3367,,00,00,00,----,1986
88290,0,0,5,73,8,0700,,0,,07,11,11,07--,1986
88294,0,0,11,73,8,1500,,0,,15,23,23,15--,1986
88307,0,0,2,73,8,1900,,0,,20,33,33,19--,1986
88310,3554,150,10,73,8,4000,,860,,40,48,48,40--,1986
88321,791,55,9,73,8,5000,,222,,50,42,42,50--,1986
88337,4325,435,48,73,8,5200,,989,,52,44,44,52--,1986
88370,984,57,6,73,8,6000,,218,,60,52,52,60--,1986
88379,891,121,21,73,8,7000,,210,,70,81,81,70--,1986
88405,0,0,13,73,8,9900,,0,,90,92,92,99--,1986
88406,71689,5197,611,75,8,0000,,18160,,00,00,00,----,1986
88407,223,28,10,75,8,0700,,48,,07,11,11,07--,1986
88413,2989,147,18,75,8,1000,,807,,10,21,21,10--,1986
88420,4604,279,47,75,8,1500,,1158,,15,23,23,15--,1986
88447,13657,770,22,75,8,1900,,3654,,20,33,33,19--,1986
88486,6007,324,39,75,8,4000,,1480,,40,48,48,40--,1986
88514,9863,590,61,75,8,5000,,2728,,50,42,42,50--,1986
88552,12138,1330,153,75,8,5200,,2863,,52,44,44,52--,1986
88612,5599,282,39,75,8,6000,,1281,,60,52,52,60--,1986
88634,16049,1373,187,75,8,7000,,4004,,70,81,81,70--,1986
88712,560,74,35,75,8,9900,,138,,90,92,92,99--,1986
88713,348726,22401,2486,77,8,0000,,84233,,00,00,00,----,1986
88714,1080,81,28,77,8,0700,,159,,07,11,11,07--,1986
88720,19871,597,46,77,8,1000,,5178,,10,21,21,10--,1986
88728,0,0,0,77,8,1100,,0,,,,,1100,1986
88746,32841,1505,228,77,8,1500,,7006,,15,23,23,15--,1986
88774,40529,2243,104,77,8,1900,,9746,,20,33,33,19--,1986
88890,26668,1274,83,77,8,4000,,6628,,40,48,48,40--,1986
