FNAME,AUDIT_YEAR,dist_clust,pcap,pcrev,vac_rate,intensity_stock,prop_ratio,pcintgov,pop_growth,gsp,EXP_TOTAL,cty_exp_prop,SL_EXP_TOTAL,SL_pop_growth,SL_vac_rate,exp_intensity,dist_clust_bf,dist_clust_pca,pcap_q,dc_diff,dc_diff_bf,dc_diff_pca
Sedgwick,2006,0.24661080188799,3324.635456638526,1697.7195739913388,20.44,0.0,0.1761925043831884,762.2980678745021,-0.02287214098237722,223154,3955781.123511905,0.21604031564512005,17832817.34077381,0.010626618292635783,29.497999999999998,0.0,0.06994694939335802,0.056813550042634914,2,-0.013514084189907127,0.004267773573918929,-0.001740477713028904
Sedgwick,2007,0.23309671769808288,3514.5476285372656,1745.9038863852786,22.95,0.0,0.18623229248318898,632.1607942232852,-0.03722179585571761,228087,3925751.4761215625,0.21491973035744635,18020725.27785818,0.028464455235078567,30.178,0.0,0.07421472296727695,0.05507307232960601,2,-0.03343802404896651,-0.04001830095894581,-0.033101279558529845
Sedgwick,2008,0.19965869364911637,3612.877583465819,1930.5442705006585,22.44,0.0,0.09867169288518664,841.2123727235336,0.00278995615783173,230987,4531921.727821643,0.2513606825516113,18221027.587552257,0.0060636864524945995,30.578000000000003,0.0,0.03419642200833114,0.02197179277107617,2,0.01653960827619569,0.037369925740078906,0.02219693696909245
Sedgwick,2009,0.21619830192531206,3837.542087542087,2108.058080808081,23.46,0.0066442765338110546,0.1010805072930225,674.648569023569,-0.055643879173290944,225984,4333982.0,0.23375629699146735,18612960.0,-0.0499326010392573,30.576,28796.1749005595,0.07156634774841004,0.04416872974016862,2,,,
Summit,1993,0.20210715423235207,14184.756556871875,1841.5379922644706,66.3,0.0,1.06820507968077,234.7358797441016,0.059263020455534665,103457,25739529.43598616,0.2569862256421809,231763319.7266436,0.03227160969949844,16.65,0.0,0.08300714111050059,0.19309039989397148,5,-0.004305483087965273,-0.022513560111883775,0.00809932333266919
Summit,1994,0.1978016711443868,14440.17752573507,1725.4696953967239,63.5,0.0,1.097613761435415,219.88464233690308,0.11093610901869487,110529,27832618.28947369,0.2476874418772396,232317582.6535088,0.020783413499619135,15.633333333333333,0.0,0.06049358099861681,0.20118972322664067,5,0.005164819687829392,0.016930883522697206,0.016900017218036356
Summit,1995,0.20296649083221618,14504.316882510791,1675.3188432059399,63.8,0.08270697150801992,1.017072298095522,211.72717674597644,0.0566479689329964,116821,28443122.24409449,0.23016140935928275,226557044.29625982,0.023309302631521235,14.166666666666666,2352444.5010414505,0.07742446452131402,0.21808974044467702,5,0.023256943363527294,0.004742109174052614,-0.027627976147006295
Summit,1996,0.22622343419574348,15621.0368227834,1749.4584777187836,63.7,0.0630012256394673,1.098196964022804,244.99622759663552,0.048769105121922784,123144,35942325.43021032,0.2683658991198969,235593344.87571695,0.021163904444579273,12.866666666666665,2264410.5544358445,0.08216657369536663,0.19046176429767073,5,-0.006404255958887051,0.005719317214482961,0.021937350740118183
Summit,1997,0.21981917823685643,16093.99255715045,1726.7664753784773,63.4,0.16839430605850764,1.1350484418083155,233.64560310433404,0.04627878518188888,157345,35425335.20560748,0.2451407472486821,231500853.69626164,0.022727763346729657,12.0,5965424.738838292,0.08788589090984959,0.2123991150377889,5,-0.025271317401837745,0.0071205964220041745,0.0011481767033497126
Summit,1998,0.19454786083501868,17452.537497431684,1830.1659074636875,63.8,0.1933266281023436,1.167919961602519,242.28591027465552,0.03498139287612978,166949,35170055.60429448,0.2387581183768785,236903551.41564414,0.029579863595874424,11.533333333333331,6799308.260150184,0.09500648733185377,0.21354729174113862,5,-0.03168017226777167,-0.014804031539404947,-0.049429761800762306
Summit,1999,0.162867688567247,18408.955223880595,1928.472423762752,64.7,0.4000943304270758,1.2233327324962218,235.95503413011886,0.049671255393466174,179848,43150140.99039616,0.28955324126872223,254732195.94837937,0.043238020731482286,11.0,17264126.76738647,0.08020245579244882,0.16411752994037632,5,-0.007699655250806847,-0.00309273624919873,-0.006364885330577136
Summit,2000,0.15516803331644016,17624.808900968234,1839.3136947943533,62.96,0.3954662247155506,1.2939609047367835,226.68869693987045,0.15233667726939082,195300,43697130.33101045,0.2934277579166256,303388748.0981416,-0.0035281592249799126,14.168333333333333,17280739.16290808,0.07710971954325009,0.15775264460979918,5,0.05513477413964454,0.005243729518079984,-0.01202988398010707
Summit,2001,0.2103028074560847,15982.849554164297,1655.3014242939512,63.79,0.5771962750427366,1.29420432172707,225.0322578364448,0.11920332936979786,201831,48009456.61490683,0.32132543393461066,292857908.77329195,-0.0010076050594183261,15.77333333333333,27710879.524950095,0.08235344906133008,0.1457227606296921,5,0.029213146669544526,0.02539878065198517,-0.01025352975974475
Summit,2002,0.23951595412562923,15317.896857974476,1935.5016687339594,63.66,0.5464853674104316,1.3820342635126774,269.66222932103864,0.016808954657560268,204515,53138789.66648138,0.3504621324714745,318663060.4307949,0.018976019824268664,16.503333333333334,29039570.994632725,0.10775222971331525,0.13546923086994736,5,-0.016372666509099076,-0.030398159560063157,0.03896707764465948
Summit,2003,0.22314328761653016,15483.071475990262,1857.9321382784765,63.68,0.4920501416874874,1.2590126119377172,273.6523248458201,0.011791924770505169,205386,45051262.4673913,0.29425768638805744,368787132.0285326,0.002161461217376278,17.785,22167480.08028007,0.07735407015325209,0.17443630851460684,5,0.016782885435600692,0.004344524305844422,-0.002096550391273294
Summit,2004,0.23992617305213085,16019.239879021976,1863.721454259483,63.82,0.4359638494858849,1.3404241755331934,276.97471135465014,0.012133952939440862,209357,46905548.4727369,0.3048603260011208,300564244.16622555,0.0028063524992203064,18.435000000000002,20449123.47442115,0.08169859445909651,0.17233975812333355,5,0.04710031607462192,0.07283855374964925,-0.06822771149022122
