LG_ID,NAME,AUDIT_YEAR,CM_FUND_TYPE_ID,DESCRIPTION,REV_TOTAL,REV_CHARGES,REV_IMPACT_FEE,REV_INTGOVT,REV_TRANSFER_IN,REV_INTEREST,REV_OTHER,EXP_TOTAL,EXP_OPERATING,EXP_CAPITAL_OUTLAY,EXP_PRINCIPAL,EXP_INTEREST,EXP_TRANSFER_OUT,GO_DEBT,REVENUE_DEBT,OTHER_DEBT,ASSETS,LIABILITIES,DEPRECIATION
36001,"Aguilar, Town of",2002,2,Water,132689,119585,0,0,0,0,13104,100403,90498,0,7791,2114,0,0,4262,54728,449638,17692,16843
36001,"Aguilar, Town of",2002,3,Sewer,66680,64609,0,0,0,0,2071,63566,46313,0,9292,7961,0,0,143000,23313,113820,14732,18034
36001,"Aguilar, Town of",2002,4,Gas,209357,197113,0,0,0,0,12244,199085,155630,5455,0,0,38000,0,0,0,406819,52585,2133
36001,"Aguilar, Town of",2003,2,Water,170136,162233,0,0,0,7903,0,291746,147403,130512,10555,3276,0,0,1985,134450,330808,41945,18285
36001,"Aguilar, Town of",2003,4,Gas,161926,153319,0,0,0,8607,0,160533,137364,3169,0,0,20000,0,0,0,411746,56118,3046
36001,"Aguilar, Town of",2003,3,Sewer,87779,86172,0,0,0,1607,0,89289,46907,3788,30313,8281,0,0,136000,0,112131,9800,18224
36001,"Aguilar, Town of",2004,2,Water,176731,171333,0,0,0,5398,0,260943,156071,26597,70434,5948,1893,0,0,66000,244558,29457,19045
36001,"Aguilar, Town of",2004,4,Gas,211922,204184,0,0,0,7738,0,302804,198093,101441,0,0,3270,0,0,0,333167,68421,5944
36001,"Aguilar, Town of",2004,3,Sewer,100922,99685,0,0,0,1237,0,71360,55329,0,7000,6800,2231,0,129000,0,141693,10800,18224
36001,"Aguilar, Town of",2005,2,Water,188677,188184,0,0,0,493,0,300681,113242,163459,22000,1980,0,0,0,44000,224501,121405,19045
36001,"Aguilar, Town of",2005,3,Sewer,92804,91334,0,0,0,1470,0,85998,71323,0,8000,6675,0,0,121000,0,173461,35761,18244
36001,"Aguilar, Town of",2005,4,Gas,235499,234534,0,0,0,965,0,220683,220683,0,0,0,0,0,0,0,0,0,5944
36001,"Aguilar, Town of",2006,2,Water,297116,236601,0,33974,0,10112,16429,944012,102676,818016,22000,1320,0,0,0,840016,274394,41803,23657
36001,"Aguilar, Town of",2006,3,Sewer,112079,90657,0,0,0,2704,18718,99901,80951,0,13000,5950,0,0,108000,0,166389,17511,18224
36001,"Aguilar, Town of",2006,4,Gas,252208,213226,0,0,0,12851,26131,297951,297951,0,0,0,0,0,0,0,312746,78927,5944
36001,"Aguilar, Town of",2007,2,Water,449210,171460,0,258840,0,18910,0,818846,111789,615300,35030,56727,0,0,0,1213470,379384,63091,23657
36001,"Aguilar, Town of",2007,3,Sewer,88707,85827,0,0,0,2880,0,99602,75327,0,19000,5275,0,0,89000,0,156709,18726,18224
36001,"Aguilar, Town of",2007,4,Gas,241439,229231,0,0,0,12208,0,262636,262636,0,0,0,0,0,0,0,298805,86183,5945
36001,"Aguilar, Town of",2008,2,Water,241146,193841,0,41873,0,5432,0,224802,123126,35836,18711,47129,0,0,0,1194759,387480,54843,65721
36001,"Aguilar, Town of",2008,4,Gas,276395,205661,0,0,0,7177,63557,271129,271129,0,0,0,0,0,0,0,323938,106051,5944
36001,"Aguilar, Town of",2008,3,Sewer,92234,86572,0,0,0,1506,4156,93697,67119,3253,19000,4325,0,0,70000,0,149081,14561,18405
36001,"Aguilar, Town of",2009,2,Water,216627,173222,0,42144,0,1261,0,258716,148565,44740,19538,45873,0,0,0,1175221,342209,52428,67902
36001,"Aguilar, Town of",2009,4,Gas,237646,236548,0,0,0,1098,0,209897,209897,0,0,0,0,0,0,0,296112,50476,5944
36001,"Aguilar, Town of",2009,3,Sewer,79379,78928,0,0,0,251,200,87977,79477,0,5000,3500,0,0,0,65000,139622,13250,19308
61002,"Akron, Town of",1975,2,Water,70600,67200,1000,2100,0,0,300,63200,44400,900,6000,3500,8400,84000,0,0,0,0,0
61002,"Akron, Town of",1976,2,Water,77300,74900,2000,0,0,0,300,69600,55100,0,6000,3200,5300,78000,0,0,0,0,0
61002,"Akron, Town of",1977,2,Water,86200,82500,3400,0,0,0,300,76000,61000,3900,6000,2900,2200,72000,0,0,0,0,0
61002,"Akron, Town of",1977,7,Airport,10700,0,0,0,10700,0,0,10700,10700,0,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1978,2,Water,85200,80400,4900,0,0,0,0,85900,68400,0,7000,2800,7700,65000,0,0,0,0,0
61002,"Akron, Town of",1978,7,Airport,40200,0,0,0,40200,0,0,40100,9600,30500,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1979,2,Water,95400,88400,6400,0,0,0,600,116300,75100,8000,10000,2400,20800,55000,0,0,0,0,0
61002,"Akron, Town of",1979,7,Airport,9600,0,0,0,9600,0,0,9600,9600,0,0,0,0,0,0,0,0,0,0
61002,"Akron, Town of",1980,2,Water,124400,105400,5300,0,12500,0,1200,105900,79200,17600,7000,2100,0,48000,0,0,0,0,0
