Series_ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
LAUCN08055005,2336,2328,2380,2607,2832,2985,3180,3568,3875,3565,2913,2999,3271,3075,3020,3030,3209,3217,3233,3168,2892,2849,2755,
LAUCN08055006,2538,2534,2642,2853,3041,3198,3405,3767,4134,3779,3085,3203,3528,3365,3293,3289,3414,3380,3453,3507,3282,3217,3137,
LAUCN08057003,2.8,5.8,6.5,6.5,7.4,6.9,6.5,6.1,5.6,4.9,2.8,3.5,4.7,5.2,3.6,4,2.9,2.5,3.2,4.6,6.7,4.2,3.8,
LAUCN08057004,25,53,63,72,73,64,59,56,53,45,25,36,51,56,40,46,32,28,35,59,83,52,43,
LAUCN08057005,864,855,909,1032,915,860,848,866,895,876,862,1002,1042,1021,1072,1099,1089,1083,1053,1233,1161,1175,1075,
LAUCN08057006,889,908,972,1104,988,924,907,922,948,921,887,1038,1093,1077,1112,1145,1121,1111,1088,1292,1244,1227,1118,
LAUCN08059003,3.8,4.1,4.7,4.2,3.4,3.1,3.4,2.5,2.6,2.3,2.4,3.5,5.4,5.9,5.4,5,4.2,3.7,4.7,7.9,8.7,8.2,7.6,
LAUCN08059004,9770,10495,12231,11544,9800,9211,10288,7747,7975,7184,7292,10560,16429,18105,16600,15348,12844,11313,14417,24182,26375,24761,23080,
LAUCN08059005,246474,247915,250620,261439,276736,286838,289029,296488,303661,308274,302787,294223,286823,288291,289102,292067,295275,294359,295075,280784,278408,277009,282245,
LAUCN08059006,256244,258410,262851,272983,286536,296049,299317,304235,311636,315458,310079,304783,303252,306396,305702,307415,308119,305672,309492,304966,304783,301770,305325,
LAUCN08061003,2.6,4.4,4.6,1.9,1.6,2.1,2.2,1.7,2.2,4.2,3.1,2.8,4.1,5.3,5.2,4.2,3.3,2.7,3.6,4.7,5.4,4.2,4.1,
LAUCN08061004,21,35,38,16,14,19,19,15,20,36,24,26,39,46,47,37,30,25,31,47,51,42,39,
LAUCN08061005,780,762,782,816,838,865,831,871,879,821,760,911,920,821,855,848,869,893,823,954,890,965,920,
LAUCN08061006,801,797,820,832,852,884,850,886,899,857,784,937,959,867,902,885,899,918,854,1001,941,1007,959,
LAUCN08063003,1.2,2.3,4.5,3.7,2.9,2.9,3.5,2.5,2.3,2.3,2.5,2.5,3.2,4.4,3.6,3.5,3,2.7,3.3,4.4,4.8,4.8,4.7,
LAUCN08063004,40,74,147,121,96,101,126,89,86,87,98,106,146,187,153,152,137,123,146,212,224,223,212,
LAUCN08063005,3291,3164,3131,3155,3224,3338,3435,3513,3671,3693,3756,4206,4378,4063,4150,4229,4405,4386,4225,4645,4482,4391,4310,
LAUCN08063006,3331,3238,3278,3276,3320,3439,3561,3602,3757,3780,3854,4312,4524,4250,4303,4381,4542,4509,4371,4857,4706,4614,4522,
LAUCN08065003,6.1,7.3,10.3,11.1,6.2,4.8,6.5,4.8,5.4,5.2,3.3,4,6,6.2,5.7,5,4.2,3.6,4.6,9.5,13.3,11.8,10,
LAUCN08065004,173,212,307,337,191,151,208,156,180,169,135,160,239,237,223,199,171,147,188,373,482,428,365,
LAUCN08065005,2661,2680,2673,2688,2896,2982,2996,3100,3123,3090,3917,3838,3772,3564,3671,3763,3898,3911,3934,3551,3153,3207,3291,
LAUCN08065006,2834,2892,2980,3025,3087,3133,3204,3256,3303,3259,4052,3998,4011,3801,3894,3962,4069,4058,4122,3924,3635,3635,3656,
LAUCN08067003,5.9,6.5,6.9,5.9,4.3,4.5,4.9,4.6,4.8,4,2.9,3.2,4,4.5,4.2,3.9,3.4,2.8,3.6,6,7.1,7,6.6,
LAUCN08067004,1025,1187,1326,1205,961,1056,1181,1132,1196,1002,702,807,1062,1203,1174,1159,1029,883,1132,1881,2180,2116,2010,
LAUCN08067005,16421,17201,18017,19255,21299,22500,23162,23458,23967,24043,23812,24270,25280,25461,27087,28880,29665,30356,30464,29476,28344,27931,28250,
LAUCN08067006,17446,18388,19343,20460,22260,23556,24343,24590,25163,25045,24514,25077,26342,26664,28261,30039,30694,31239,31596,31357,30524,30047,30260,
LAUCN08071003,8.2,7.3,10.6,8,5,5.1,9.7,6.7,5.8,5.4,4.2,4.6,5.1,6.1,5.5,5.1,4,3.7,4.5,9,9.7,9.9,10.7,
LAUCN08071004,451,400,589,461,309,329,644,439,408,372,278,327,398,477,440,420,346,320,396,783,795,784,851,
LAUCN08071005,5069,5072,4966,5297,5855,6174,6000,6138,6606,6515,6417,6834,7424,7389,7549,7779,8218,8440,8446,7876,7403,7145,7105,
LAUCN08071006,5520,5472,5555,5758,6164,6503,6644,6577,7014,6887,6695,7161,7822,7866,7989,8199,8564,8760,8842,8659,8198,7929,7956,
LAUCN08073003,2.7,3.3,4.2,4.1,2.6,2.4,2.2,1.8,1.6,1.5,2.7,3,3.9,4.5,4.2,4.2,3.6,3.1,3.7,4.6,5,5.2,5.3,
LAUCN08073004,59,81,107,102,65,62,58,49,44,42,72,87,119,135,129,127,110,94,107,143,152,162,164,
LAUCN08073005,2160,2373,2427,2401,2465,2536,2548,2613,2627,2668,2558,2818,2945,2871,2913,2927,2988,2943,2798,2965,2903,2957,2905,
LAUCN08073006,2219,2454,2534,2503,2530,2598,2606,2662,2671,2710,2630,2905,3064,3006,3042,3054,3098,3037,2905,3108,3055,3119,3069,
LAUCN08075003,3.5,5.6,5.5,4,3.1,3.2,3.7,3.6,5.4,3.4,2.8,3.2,3.8,4.3,4.4,4.1,3.5,3.1,3.8,5.5,7,6.9,6.6,
LAUCN08075004,305,476,462,345,282,324,373,363,554,349,285,339,421,467,471,437,389,354,433,666,797,775,742,
LAUCN08075005,8488,8019,7992,8223,8963,9724,9733,9717,9675,9857,9743,10402,10778,10439,10286,10276,10882,11053,10828,11374,10632,10486,10454,
LAUCN08075006,8793,8495,8454,8568,9245,10048,10106,10080,10229,10206,10028,10741,11199,10906,10757,10713,11271,11407,11261,12040,11429,11261,11196,
LAUCN08079003,6.7,4.4,7,6.3,9.2,8.3,8.1,4.5,4.2,3,3.6,3.7,4.6,5.1,4.9,5.2,4.8,4.4,5.4,7.3,6.3,4.9,4.8,
LAUCN08079004,20,14,25,24,35,33,33,19,19,13,15,16,20,23,23,24,22,21,26,35,29,23,24,
LAUCN08079005,279,304,332,355,344,364,376,405,432,422,405,412,413,424,448,440,436,454,452,445,428,447,480,
LAUCN08079006,299,318,357,379,379,397,409,424,451,435,420,428,433,447,471,464,458,475,478,480,457,470,504,
LAUCN08081003,5.7,7.2,8.5,7.4,6.1,5.7,6.2,5.5,5.7,5.7,3.5,3.9,4.9,5.9,5,4.5,3.7,3.1,3.8,6.9,9.6,8.8,7.7,
LAUCN08081004,337,432,529,460,387,394,421,367,374,370,248,285,378,443,387,358,317,266,332,629,824,737,639,
LAUCN08081005,5611,5583,5688,5795,5986,6469,6346,6348,6211,6083,6767,7024,7287,7120,7319,7547,8138,8318,8441,8468,7789,7660,7622,
LAUCN08081006,5948,6015,6217,6255,6373,6863,6767,6715,6585,6453,7015,7309,7665,7563,7706,7905,8455,8584,8773,9097,8613,8397,8261,
LAUCN08083003,7.3,8.7,9.9,7.6,6.9,6.8,7,6.9,6.4,5.2,4.2,4.4,5.5,5.9,5.6,5.3,4.4,3.9,5.2,8.2,9.2,8.8,8.5,
LAUCN08083004,677,818,987,816,757,774,810,795,767,626,491,522,690,728,705,690,586,519,674,1086,1225,1149,1121,
LAUCN08083005,8586,8626,9013,9866,10281,10649,10829,10712,11300,11475,11339,11359,11744,11584,11896,12292,12743,12754,12296,12232,12029,11974,12000,
LAUCN08083006,9263,9444,10000,10682,11038,11423,11639,11507,12067,12101,11830,11881,12434,12312,12601,12982,13329,13273,12970,13318,13254,13123,13121,
LAUCN08085003,6.3,8,8.1,5.9,5.1,5.6,7.2,5.6,6.1,5.5,3.7,4.4,5.5,5.9,5.4,4.8,4,3.6,5,9,11.3,11.2,10.5,
LAUCN08085004,738,968,1014,762,720,840,1097,876,983,881,596,743,981,1084,1030,954,820,757,1039,1908,2321,2241,2076,
LAUCN08085005,10957,11093,11527,12196,13452,14074,14126,14852,15005,15066,15654,16203,16855,17178,18095,18973,19723,20145,19839,19289,18270,17726,17658,
LAUCN08085006,11695,12061,12541,12958,14172,14914,15223,15728,15988,15947,16250,16946,17836,18262,19125,19927,20543,20902,20878,21197,20591,19967,19734,
LAUCN08087003,4.5,4.7,5.1,3.9,4.1,3.4,3.8,3.2,3.9,3.2,3,3.2,4.2,4.8,4.6,4.3,3.9,3.4,4.2,6,6.9,6.5,6.6,
LAUCN08087004,464,520,583,457,511,450,500,433,526,424,379,426,585,684,657,625,562,485,598,906,1045,1020,1032,
LAUCN08087005,9883,10458,10743,11370,11981,12665,12583,13056,13060,12713,12199,12906,13450,13480,13659,13791,13965,13844,13560,14197,13996,14652,14538,
LAUCN08087006,10347,10978,11326,11827,12492,13115,13083,13489,13586,13137,12578,13332,14035,14164,14316,14416,14527,14329,14158,15103,15041,15672,15570,
LAUCN08089003,7.1,7,7.5,6.1,5.7,5.3,6,5,5.4,4.9,4.3,4.6,6,6.6,6.2,6.5,6,5,5.9,7.6,8.7,9.4,9.5,
LAUCN08089004,603,598,629,512,494,481,556,464,499,446,382,422,571,611,577,610,571,448,516,711,804,870,860,
LAUCN08089005,7887,7919,7776,7886,8145,8580,8702,8743,8751,8629,8458,8660,8978,8680,8753,8804,8873,8433,8235,8625,8472,8428,8177,
LAUCN08089006,8490,8517,8405,8398,8639,9061,9258,9207,9250,9075,8840,9082,9549,9291,9330,9414,9444,8881,8751,9336,9276,9298,9037,
LAUCN08091003,9.7,7.6,7.7,4.8,4.2,4.9,6,5,5,3.8,2.6,3,4.1,4.5,4.1,3.5,3.1,3,3.7,6.3,7.8,7.9,7.1,
LAUCN08091004,120,96,102,67,65,83,104,89,92,71,58,69,100,110,109,104,95,91,112,182,215,204,187,
LAUCN08091005,1116,1163,1220,1327,1498,1611,1618,1704,1748,1800,2145,2269,2343,2336,2570,2857,2952,2983,2922,2725,2547,2374,2463,
LAUCN08091006,1236,1259,1322,1394,1563,1694,1722,1793,1840,1871,2203,2338,2443,2446,2679,2961,3047,3074,3034,2907,2762,2578,2650,
LAUCN08093003,3.8,4.4,6.8,5.8,4.3,3.9,4.5,3.4,3.5,3.1,2.5,3.5,5.3,5.5,5.5,4.8,3.9,3.6,4.7,7.7,9,8.2,7.5,
LAUCN08093004,171,210,339,326,281,299,346,266,286,259,217,304,477,519,523,465,388,353,461,725,824,724,676,
LAUCN08093005,4372,4514,4628,5294,6298,7341,7313,7465,7895,8033,8331,8423,8582,8865,9070,9264,9477,9322,9268,8641,8321,8138,8292,
LAUCN08093006,4543,4724,4967,5620,6579,7640,7659,7731,8181,8292,8548,8727,9059,9384,9593,9729,9865,9675,9729,9366,9145,8862,8968,
LAUCN08095003,1.5,2.1,3.5,2.1,1.7,1.5,2.1,1.9,2.3,1.7,2.6,2.8,3.2,3.9,3.7,3.5,3.4,2.7,3.4,4,4.8,4.8,4.9,
LAUCN08095004,27,37,61,38,32,30,42,39,49,36,54,67,81,92,86,81,82,67,76,104,118,119,117,
LAUCN08095005,1815,1694,1676,1759,1838,1952,1963,2027,2061,2067,2004,2313,2435,2264,2266,2217,2343,2371,2174,2501,2363,2368,2292,
LAUCN08095006,1842,1731,1737,1797,1870,1982,2005,2066,2110,2103,2058,2380,2516,2356,2352,2298,2425,2438,2250,2605,2481,2487,2409,
