FNAME,AUDIT_YEAR,pcap,pcrev,w_db_b_g,w_db_b_g_ap,w_db_b_i,w_db_b_i_ap,w_db_c_g,w_db_c_g_ap,w_db_c_i,w_db_c_i_ap,w_kern_g,w_kern_g_ap,w_kern_i,w_kern_i_ap,w_queen_g,w_queen_g_ap,w_queen_i,w_queen_i_ap,w_rook_g,w_rook_g_ap,w_rook_i,w_rook_i_ap,gsp,st_unempr,permits,hu_num,vac_rate,labforce,CTY_POP,intensity_flow,intensity_stock,prop_ratio,pcintgov,pop_growth,permit_rate,lfp_rat,lpop_growth
Lake,1998,3296.127562642369,955.6061354841887,0.8366199630019505,-0.26585895949379235,-0.4617735887016953,0.13372288636780266,0.7763518946941228,-0.2687221080104388,-0.4208303401841147,0.13228206818007338,1.257835346170331,-0.4894166022951808,-0.6482244616486039,0.2082598420285774,1.1493554662641128,-0.3655523265481303,-0.5759818156326147,0.1503984962503879,1.133171023181852,-0.3589354246006683,-0.5653279940437439,0.14889218030086288,166949,3.5,44.0,3905.0,15.1,3303.0,8341,0.016765532099762614,0.19465171577210127,0.6113326599528249,289.4172231485683,0.004576659038901587,0.011267605633802818,0.3959956839707469,0.05636132315521625
Lake,1999,2969.379244608602,1018.9149539239024,0.7982730630751349,-0.2701431339382018,-0.3866801251947478,0.14233580678852356,0.7578973460951247,-0.27270733876436504,-0.35474406412342085,0.13296139937250587,1.3364906652842978,-0.4886472659524134,-0.5998290611893955,0.20745825489363232,1.101651869737276,-0.3691031561245452,-0.473717663519626,0.14333200581810368,1.0831604364832326,-0.3630820190490092,-0.461818688146835,0.1473613942986215,179848,3.0,43.0,3949.0,15.3,3259.0,8393,0.1425468528355731,0.3371985686076744,0.6428470319845596,310.98235231182906,0.006234264476681517,0.010888832615852115,0.38829977362087453,0.004576659038901587
Lake,2000,3325.52483358935,1228.8532718358788,0.40759423185236215,-0.2755002703142643,-0.08222185394415114,0.13571247926688326,0.3738060136966279,-0.2769444703402277,-0.07178874395398242,0.13884240793366914,0.9509165544542104,-0.5042146347019191,-0.19184733808048507,0.21060599930471816,0.5627590541554351,-0.37912765438287294,-0.09947400402060758,0.14861276369414864,0.5512394959434492,-0.3741980809392774,-0.09584144570745558,0.1558639714826794,195300,2.7,15.0,3974.0,23.7,4052.0,7812,0.0,0.29041077450581776,0.6927056961164714,361.6296658317143,-0.06922435362802337,0.00377453447408153,0.5186891961085509,0.006234264476681517
Lake,2001,3196.750444275197,1441.7657278150175,0.4913501602812994,-0.2785093424246915,0.0610478986179673,0.14251763352120048,0.4430772364086852,-0.2824895871290526,0.05601246190808217,0.13738593419861747,1.2402187969406209,-0.5071239354594289,0.11957688118334753,0.21320267788749914,0.6720532374570962,-0.3837450828043152,0.07549322503776705,0.15053479974736209,0.6615057909053459,-0.378017417549204,0.07024662518322229,0.15193713260902347,201831,3.8,59.0,4014.0,25.54,3998.0,7878,0.167588353939768,0.45799912844558577,0.7439954086799224,673.0848348810036,0.008448540706605279,0.014698555057299452,0.5074892104595075,-0.06922435362802337
Lake,2002,3102.6858213616492,1285.8148204342826,0.4559609225723516,-0.2794044789767461,-0.07070083044507677,0.1482605493888609,0.42053894754903737,-0.2821675846863312,-0.06128612896970655,0.14186048022644412,1.03629238893199,-0.5032714295575613,-0.1625243733587959,0.2127090282159748,0.6297374628646183,-0.3849969200810202,-0.08756534349715839,0.15837870508818647,0.6194673394948289,-0.3789276092690013,-0.08398271594888032,0.15947252685741162,204515,5.7,54.0,4050.0,26.99,4011.0,8005,0.0,0.44422236709602125,0.7691019468285535,547.333112052327,0.016120842853516226,0.013333333333333334,0.5010618363522799,0.008448540706605279
Lake,2003,3063.638663967611,1280.960432458524,0.4677169590634469,-0.267802937925711,-0.06248094641004296,0.14399565512357992,0.4380996948592635,-0.2706271953858507,-0.05538677405405648,0.13575884640777314,1.1590970536268652,-0.4809893720027054,-0.16441759502948505,0.20653290815600966,0.6439312902518727,-0.369796628069394,-0.0747056536285625,0.1528658541853821,0.6342080483253172,-0.3635153062645444,-0.07470951599403793,0.15176056447609296,205386,6.1,93.0,4125.0,30.08,3801.0,7904,0.0,0.3750338974226939,0.705579676180156,335.535594250572,-0.012617114303560273,0.022545454545454546,0.48089574898785425,0.016120842853516226
Lake,2004,3134.879616790621,1266.466686290163,0.5324253150612187,-0.2651888064611573,-0.10461597301597676,0.1439075517671957,0.5028298243702285,-0.2685136402090801,-0.09557634194203272,0.13595252648768982,1.2764498166631295,-0.4849278092830298,-0.2421658467999069,0.21032444952301454,0.7409937904920328,-0.3651317349120665,-0.12655704126809905,0.14876177509788696,0.7273533467543084,-0.3584419573965962,-0.12073510718152475,0.15060577724171118,209357,5.6,60.0,4164.0,31.63,3894.0,7933,0.0,0.34298613724416027,0.7300375449155003,440.6587548965039,0.003669028340080871,0.01440922190201729,0.4908609605445607,-0.012617114303560273
Lake,2005,3144.672285822116,1210.5894103326525,0.5046577068235382,-0.2598100639314451,-0.1751986803479555,0.142668164600676,0.4610671806408482,-0.26540766880120475,-0.152260026266317,0.13550809946372822,1.2374777125856256,-0.4710106548594086,-0.4073885055518941,0.2059708957171612,0.7018240829163797,-0.3597520988713336,-0.2121472358561602,0.14901698906527425,0.6893177166423575,-0.35365163198526617,-0.20796125111848235,0.14928299084300525,217329,5.1,65.0,4210.0,33.52,3962.0,7949,0.04689734576443172,0.389883483008592,0.7567750575899418,420.09132045515196,0.0020168914660279036,0.015439429928741092,0.49842747515410746,0.003669028340080871
Lake,2006,3452.9426371989075,1212.9244988441114,0.545271888441324,-0.2567146694287849,-0.2385146055463924,0.13867781012109345,0.5057256931273556,-0.26166552309987245,-0.21729621278259376,0.12946994035151935,1.0260345517302034,-0.4737912966944917,-0.4153171580994088,0.20623695061182792,0.7507135768641724,-0.3542738462076018,-0.29637637257244354,0.15072188718240798,0.7393042142598534,-0.3499158748177647,-0.28968324612990604,0.14850450395944415,223154,4.3,55.0,4243.0,34.55,4069.0,8054,0.0,0.3490488170901953,0.7904915206011266,383.0524918481796,0.013209208705497577,0.01296252651425878,0.5052148000993295,0.0020168914660279036
Lake,2007,3947.4969474969485,1270.5291847563915,0.31007866471020457,-0.2601674582290553,-0.1009973623493286,0.1393439005437014,0.27852993024814743,-0.2624714797272662,-0.08803703757378432,0.1394242079372016,0.7818183353610781,-0.4723775983426337,-0.2531694417079869,0.20944767792437827,0.4254991947487104,-0.35680678575741964,-0.1273876452938466,0.1529642234726485,0.4174459968707489,-0.35172623091553684,-0.12450018248284928,0.1544823533424171,228087,3.8,52.0,4273.0,34.4,4058.0,8190,0.07811135546203296,0.42716017255222827,0.8212223283418026,381.9790618611168,0.016886019369257488,0.012169435993447227,0.4954822954822955,0.013209208705497577
