LG_ID,NAME,LGTYPE_ID,AUDIT_YEAR,CM_FUND_TYPE_ID,DESCRIPTION,REV_TOTAL,REV_CHARGES,REV_IMPACT_FEE,REV_INTGOVT,REV_TRANSFER_IN,REV_INTEREST,REV_OTHER,EXP_TOTAL,EXP_OPERATING,EXP_CAPITAL_OUTLAY,EXP_PRINCIPAL,EXP_INTEREST,EXP_TRANSFER_OUT,GO_DEBT,REVENUE_DEBT,OTHER_DEBT,ASSETS,LIABILITIES,DEPRECIATION
02001,Alamosa County,1,2002,7,Airport,1099361,86607,0,861682,144000,0,7072,1043472,139061,890519,7892,6000,0,0,0,88008,577984,285228,0
02001,Alamosa County,1,2002,9,Internal Service,699764,699764,0,0,0,0,0,684104,684104,0,0,0,0,0,0,0,16233,67884,0
02001,Alamosa County,1,2003,7,Airport,2115854,99131,0,1884984,129217,0,2522,2480750,133602,2245701,94739,6708,0,0,0,198269,167311,45818,0
02001,Alamosa County,1,2003,9,Internal Service,850058,782434,0,0,67624,0,0,784818,784818,0,0,0,0,0,0,0,13589,0,0
02001,Alamosa County,1,2004,7,Airport,390161,123939,0,120631,143795,1796,0,406827,180596,200972,17043,8216,0,0,0,181226,147859,43032,41176
02001,Alamosa County,1,2004,9,Internal Service,803634,803634,0,0,0,0,0,797205,797205,0,0,0,0,0,0,0,20603,585,0
02001,Alamosa County,1,2005,7,Airport,996347,148126,0,702471,144000,1750,0,935559,195166,715134,17815,7444,0,0,0,163411,211516,45901,51959
02001,Alamosa County,1,2005,9,Internal Service,820813,820813,0,0,0,0,0,825547,825547,0,0,0,0,0,0,0,15284,0,0
02001,Alamosa County,1,2006,7,Airport,356191,126540,0,82791,144000,2860,0,269056,172806,70991,18596,6663,0,0,0,144816,278145,136,71496
02001,Alamosa County,1,2006,9,Internal Service,792579,780579,0,0,12000,0,0,790926,790926,0,0,0,0,0,0,0,16937,0,0
02001,Alamosa County,1,2007,9,Internal Service,836245,821245,0,0,15000,0,0,821364,821364,0,0,0,0,0,0,0,31818,0,0
02001,Alamosa County,1,2008,7,Airport,339178,155323,0,53100,125000,5755,0,361949,197527,139163,20248,5011,0,0,0,105156,227321,21436,89174
02001,Alamosa County,1,2008,9,Internal Service,874152,865427,0,0,0,0,8725,878819,878819,0,0,0,0,0,0,0,27151,0,0
02001,Alamosa County,1,2009,9,Internal Service,1299508,1015105,0,5000,279403,0,0,1117818,991423,126395,0,0,0,0,0,0,229861,21020,0
03001,Arapahoe County,1,1975,9,Internal Service,2824100,2382200,0,0,441900,0,0,2675100,2057900,617200,0,0,0,0,0,0,0,0,0
03001,Arapahoe County,1,1976,9,Internal Service,2682000,2682000,0,0,0,0,0,3244600,2452600,540000,0,0,252000,0,0,0,0,0,0
03001,Arapahoe County,1,1977,9,Internal Service,3492500,3333200,0,0,159300,0,0,3490300,2943800,546500,0,0,0,0,0,0,0,0,0
