,pass,prob_exmpt,s_time,sales_change,prop_change,prop_levy_change,debt_change,rev_time,ss_open,ss_no waiver,ss_sales,ss_property,ss_nontax,ss_value,ss_transfer,ss_nonproperty,ss_tourism,ss_unknown,ss_library,ss_gaming,ss_development,infrastructure,open,public safety,economic development,unspecified,environment,hss,education,tourism,no waiver,administrative,limited,agriculture,unknown,choice,intensity_stock,prop_ratio,cty_rev_prop
497,1,0.5853480352781462,0.0,0.0,0.0,0.0,0.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.4000943304270758,1.2233327324962218,0.2547521065615522
498,1,0.5853480352781462,0.0,0.0,0.0,0.0,450000.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4000943304270758,1.2233327324962218,0.2547521065615522
499,1,0.5819033743119519,0.0,0.25,0.0,0.0,0.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5771962750427366,1.29420432172707,0.27027313969961464
500,1,0.5819033743119519,0.0,0.0,0.0,0.0,90000.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5771962750427366,1.29420432172707,0.27027313969961464
501,1,0.5819033743119519,0.0,0.0,0.0,0.0,495000.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5771962750427366,1.29420432172707,0.27027313969961464
502,1,0.5819033743119519,0.0,0.0,0.0,0.0,140000.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5771962750427366,1.29420432172707,0.27027313969961464
503,1,0.5819033743119519,0.0,0.0,0.0,0.0,392000.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5771962750427366,1.29420432172707,0.27027313969961464
504,1,0.5947883843196756,99.0,0.0,0.5,0.0,0.0,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4920501416874874,1.2590126119377172,0.29922601941200794
505,1,0.5981876623351146,99.0,0.0,0.5,0.0,0.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.45358414007064096,1.4011748860588331,0.2964024121472004
506,1,0.600480946505944,99.0,0.0,3.25,0.0,0.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5217982643360733,1.6595179509907825,0.34295850124529725
507,0,0.5764759255748146,0.0,1.9,0.0,0.0,0.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.5989613307348789,0.2901177873277082
508,1,0.5764759255748146,99.0,0.0,0.0,0.0,0.0,99.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5989613307348789,0.2901177873277082
509,1,0.5750704668256976,1.0,0.0,0.0,0.0,0.0,99.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6456556315331461,0.28987942131247324
510,0,0.5745415761632477,99.0,0.25,0.0,0.0,0.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08056278660192934,0.6004422103571005,0.2690144592135454
511,0,0.5745415761632477,99.0,0.0,0.0,0.0,0.0,99.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08056278660192934,0.6004422103571005,0.2690144592135454
512,1,0.5739388272101908,99.0,0.0,0.0,0.0,0.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6549091889002723,0.2429194996028594
513,0,0.5710990335524622,99.0,0.0,0.722,0.0,0.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.7628876580547032,0.22607382978248602
514,0,0.5589574790247238,99.0,0.0,6.534,2168411.0,0.0,15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7660611272605068,0.2432603152689929
515,0,0.5865968584375152,99.0,0.0,1.0,0.0,0.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.6807316383441225,0.2272749101059804
516,0,0.5862427247992942,99.0,0.0,3.29,0.0,0.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.10577060592473483,0.3616054138684026
517,1,0.5876025069709522,99.0,0.0,4.64,0.0,0.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.10135500400080033,0.3601807797664956
518,1,0.5877536265683804,99.0,0.0,0.0,0.0,0.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1004301127683508,0.3957497003518449
519,0,0.588280072092911,99.0,1.0,0.0,0.0,0.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.10630185711894027,0.3851032758189548
520,1,0.5877206925152312,99.0,1.5,0.0,0.0,0.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.09932674069305653,0.5056235996060571
521,0,0.5258861439818905,99.0,0.25,0.0,0.0,0.0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.12485860005747915,0.5092823391775466,0.1899841318039991
522,1,0.6132158698921251,0.0,0.0,1.0,0.0,0.0,99.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.6390866227582293,0.41055770063793895,0.2286007993987883
523,0,0.5867679263155006,99.0,1.0,0.0,0.0,0.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.18245325324243067,0.2695216325448884
524,1,0.5876442144282779,99.0,0.0,0.0,0.0,0.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05553528972578392,0.14036035838351346,0.2483684198826249
525,1,0.5873246194056119,99.0,0.0,0.0,0.0,0.0,99.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.12136655199867805,0.17916905709262515
